"","1","2","3","4","5","6","7","8","9","10","Average","SD"
"austral",0.850724637681159,0.857971014492754,0.850724637681159,0.853623188405797,0.856521739130435,0.852173913043478,0.850724637681159,0.852173913043478,0.855072463768116,0.857971014492754,85.3768115942029,0.293455894656761
"breast",0.97510980966325,0.978038067349927,0.97510980966325,0.976573938506589,0.978038067349927,0.97510980966325,0.976573938506589,0.976573938506589,0.976573938506589,0.973645680819912,97.6134699853587,0.138899457986899
"chess",0.863977485928705,0.874296435272045,0.906191369606004,0.849906191369606,0.878986866791745,0.869606003752345,0.880863039399625,0.870544090056285,0.872420262664165,0.878048780487805,87.4484052532833,1.42871361927603
"cleve",0.834459459459459,0.824324324324324,0.831081081081081,0.834459459459459,0.831081081081081,0.841216216216216,0.834459459459459,0.841216216216216,0.834459459459459,0.827702702702703,83.3445945945946,0.529399066375818
"corral",0.8515625,0.859375,0.90625,0.890625,0.875,0.8828125,0.8515625,0.859375,0.8671875,0.859375,87.03125,1.81172157613813
"crx",0.871362940275651,0.863705972434916,0.86676875957121,0.863705972434916,0.865237366003063,0.875957120980092,0.868300153139357,0.872894333843798,0.872894333843798,0.872894333843798,86.937212863706,0.439414787476416
"diabetes",0.779947916666667,0.778645833333333,0.787760416666667,0.783854166666667,0.782552083333333,0.78125,0.786458333333333,0.7734375,0.78515625,0.78125,78.203125,0.417208848635344
"flare",0.797373358348968,0.796435272045028,0.795497185741088,0.798311444652908,0.799249530956848,0.794559099437148,0.798311444652908,0.798311444652908,0.793621013133208,0.797373358348968,79.6904315196998,0.183666981308173
"german",0.742,0.731,0.737,0.733,0.74,0.739,0.735,0.746,0.742,0.726,73.71,0.597122730730924
"glass",0.700934579439252,0.696261682242991,0.700934579439252,0.714953271028037,0.728971962616822,0.682242990654206,0.696261682242991,0.728971962616822,0.696261682242991,0.719626168224299,70.6542056074766,1.57004400851765
"glass2",0.846625766871166,0.865030674846626,0.828220858895706,0.834355828220859,0.846625766871166,0.852760736196319,0.852760736196319,0.840490797546012,0.852760736196319,0.858895705521472,84.7852760736196,1.11259472464094
"heart",0.837037037037037,0.848148148148148,0.837037037037037,0.837037037037037,0.837037037037037,0.840740740740741,0.844444444444444,0.840740740740741,0.844444444444444,0.844444444444444,84.1111111111111,0.407594420227633
"hepatitis",0.875,0.85,0.8625,0.8625,0.8625,0.875,0.85,0.875,0.8625,0.8625,86.375,0.922330984215778
"iris",0.94,0.946666666666667,0.946666666666667,0.94,0.946666666666667,0.946666666666667,0.94,0.94,0.94,0.946666666666667,94.3333333333333,0.351364184463156
"letter",0.7274,0.7292,0.7422,0.7232,0.733,0.7388,0.7412,0.7406,0.74,0.7308,73.464,0.676645319860331
"lymphograph",0.466216216216216,0.216216216216216,0.236486486486486,0.22972972972973,0.398648648648649,0.236486486486486,0.412162162162162,0.216216216216216,0.222972972972973,0.222972972972973,28.5810810810811,9.82276383672614
"mofn",0.883333333333333,0.873333333333333,0.866666666666667,0.876666666666667,0.876666666666667,0.88,0.886666666666667,0.883333333333333,0.876666666666667,0.876666666666667,87.8,0.57089922571845
"satimage",0.8125,0.8195,0.822,0.8205,0.817,0.8225,0.8225,0.8175,0.8275,0.8095,81.91,0.523768396653839
"segment",0.928571428571429,0.916883116883117,0.919480519480519,0.902597402597403,0.911688311688312,0.906493506493506,0.919480519480519,0.916883116883117,0.91038961038961,0.919480519480519,91.5194805194805,0.752425287252535
"shuttle_small",0.37435367114788,0.872802481902792,0.37435367114788,0.381075491209928,0.387797311271975,0.383143743536711,0.78852119958635,0.367631851085832,0.890382626680455,0.375904860392968,51.9596690796277,22.9895450317062
"soybean_large",0.909252669039146,0.905693950177936,0.909252669039146,0.905693950177936,0.912811387900356,0.905693950177936,0.903914590747331,0.905693950177936,0.903914590747331,0.909252669039146,90.711743772242,0.288136602645104
"vehicle",0.626477541371158,0.625295508274232,0.628841607565012,0.622931442080378,0.625295508274232,0.625295508274232,0.612293144208038,0.617021276595745,0.632387706855792,0.627659574468085,62.434988179669,0.581216356645729
"vote",0.873563218390805,0.875862068965517,0.873563218390805,0.871264367816092,0.866666666666667,0.873563218390805,0.871264367816092,0.871264367816092,0.873563218390805,0.871264367816092,87.2183908045977,0.247119011442101
"waveform.21",0.812978723404255,0.812978723404255,0.817872340425532,0.800851063829787,0.814042553191489,0.811702127659575,0.80063829787234,0.811914893617021,0.812765957446808,0.803191489361702,80.9893617021277,0.603566517143446
